Reservation,Date,Time,Courts,Ball Machine,Players
Court Reservation,"Mon, Dec 8th",7a - 9a,Court #3,,5
Private Groups,"Mon, Dec 8th",8a - 10a,"Championship Court #1, Court #10, Court #11, Court #12",,15
Court Reservation,"Mon, Dec 8th",8a - 10a,Court #2,,5
Court Reservation,"Mon, Dec 8th",8a - 10a,Court #5,,4
Private Groups,"Mon, Dec 8th",9a - 11a,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,16
Court Reservation,"Mon, Dec 8th",9:30a - 12p,Court #16 (Championship) ,,5
Private Groups,"Mon, Dec 8th",10a - 12p,"Court #2, Court #3, Court #4",,11
Adv Intermediate Open Play,"Mon, Dec 8th",10a - 12p,"Court #5, Court #12, Court #13, Court #14, Court #15",,24
Court Reservation,"Mon, Dec 8th",10a - 11:30a,Court #10,,2
Court Reservation,"Mon, Dec 8th",10a - 11a,Court #11,,2
Court Reservation,"Mon, Dec 8th",11a - 12p,Championship Court #1,,1
Court Reservation,"Mon, Dec 8th",11a - 12p,Court #6 Pickleball or Backyard Games,,1
Advanced Open Play,"Mon, Dec 8th",11a - 1p,"Court #8, Court #9",,11
Court Reservation,"Mon, Dec 8th",11a - 1:30p,Court #11,,4
Court Reservation,"Mon, Dec 8th",11:30a - 12:30p,Court #10,,4
Court Reservation,"Mon, Dec 8th",12p - 1p,Championship Court #1,,1
Intermediate Open Play,"Mon, Dec 8th",12p - 2p,Court #5,,2
Private Lesson,"Mon, Dec 8th",1p - 2:30p,Championship Court #1,,1
Court Reservation,"Mon, Dec 8th",1p - 2p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Mon, Dec 8th",2p - 5p,Court #2,,1
Adv Intermediate Open Play,"Mon, Dec 8th",2p - 4p,Court #4,,0
Court Reservation,"Mon, Dec 8th",2p - 4p,Court #9,,1
Private Lesson,"Mon, Dec 8th",3p - 4p,Championship Court #1,,1
Court Reservation,"Mon, Dec 8th",3p - 5p,Court #5,,1
All Levels - Social Play,"Mon, Dec 8th",3p - 6p,"Court #7, Court #8",,0
Court Reservation,"Mon, Dec 8th",3p - 5p,Court #16 (Championship) ,,4
Advanced Open Play,"Mon, Dec 8th",4p - 6p,Court #3,,0
Court Reservation,"Mon, Dec 8th",4p - 5p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Mon, Dec 8th",4p - 6p,Court #10,,2
Adv Beginner Open Play,"Mon, Dec 8th",4p - 6p,Court #11,,0
Intermediate Open Play,"Mon, Dec 8th",4p - 6p,Court #12,,0
Adv Intermediate Open Play,"Mon, Dec 8th",4p - 6p,"Court #13, Court #14",,0
Court Reservation,"Mon, Dec 8th",4:30p - 5:30p,Court #15,,1
Private Lesson,"Mon, Dec 8th",5p - 6p,Championship Court #1,,4
Private Lesson,"Mon, Dec 8th",5p - 6p,Court #2,,1
Court Reservation,"Mon, Dec 8th",5p - 7p,Court #4,,1
Court Reservation,"Mon, Dec 8th",5p - 7p,Court #6 Pickleball or Backyard Games,,1
Court Reservation,"Mon, Dec 8th",5:30p - 7p,Court #9,,1
Adv Beginner Open Play,"Mon, Dec 8th",6p - 8p,Championship Court #1,,6
Court Reservation,"Mon, Dec 8th",6p - 7p,Court #2,,4
Court Reservation,"Mon, Dec 8th",6p - 7p,Court #3,,2
Advanced Open Play,"Mon, Dec 8th",6p - 8p,"Court #5, Court #13, Court #14, Court #15",,18
Court Reservation,"Mon, Dec 8th",6p - 7p,Court #7,,5
Semi-Seasonal,"Mon, Dec 8th",6p - 8p,Court #10,,1
Adv Intermediate Open Play,"Mon, Dec 8th",6p - 8p,"Court #11, Court #12",,10
Court Reservation,"Mon, Dec 8th",6p - 8p,Court #16 (Championship) ,,1
Private Groups,"Mon, Dec 8th",7p - 9p,"Court #2, Court #3, Court #4",,0
Private Groups,"Mon, Dec 8th",7p - 9p,"Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9",,18
Court Reservation,"Mon, Dec 8th",8p - 10p,Championship Court #1,,1
Court Reservation,"Mon, Dec 8th",8p - 9p,Court #5,,4
Advanced Open Play,"Mon, Dec 8th",8p - 10p,"Court #10, Court #11, Court #12, Court #13",,10
Court Reservation,"Mon, Dec 8th",8p - 9:30p,Court #14,,1
Court Reservation,"Mon, Dec 8th",8p - 11p,Court #15,,1
Court Reservation,"Mon, Dec 8th",8p - 9p,Court #16 (Championship) ,,1
Adv Intermediate Open Play,"Mon, Dec 8th",9p - 11p,Court #7,,0
Badminton Reservation ,"Mon, Dec 8th",9p - 11p,Court #16 (Championship) ,,1
Advanced Open Play,"Mon, Dec 8th",10p - 12a,"Championship Court #1, Court #2",,0
Adv Intermediate Open Play,"Mon, Dec 8th",10p - 12a,"Court #3, Court #4",,0
Adv Intermediate Open Play,"Tue, Dec 9th",6a - 8a,Court #3,,0
Advanced Open Play,"Tue, Dec 9th",6a - 8a,"Court #4, Court #5",,0
Intermediate Open Play,"Tue, Dec 9th",6a - 8a,Court #6 Pickleball or Backyard Games,,0
Adv Beginner Open Play,"Tue, Dec 9th",6a - 8a,Court #7,,0
Private Groups,"Tue, Dec 9th",8a - 10a,Championship Court #1,,0
Adv Intermediate Open Play,"Tue, Dec 9th",8a - 10a,"Court #2, Court #3",,4
Advanced Open Play,"Tue, Dec 9th",8a - 10a,"Court #4, Court #5",,5
Intermediate Open Play,"Tue, Dec 9th",8a - 10a,Court #6 Pickleball or Backyard Games,,0
Adv Beginner Open Play,"Tue, Dec 9th",8a - 10a,Court #7,,0
Court Reservation,"Tue, Dec 9th",8a - 10a,Court #8,,1
Seasonal Court Reservation ,"Tue, Dec 9th",8a - 10a,Court #9,,4
Private Groups,"Tue, Dec 9th",8a - 10a,"Court #10, Court #11, Court #12",,0
Private Groups,"Tue, Dec 9th",9a - 11a,Court #13,,5
Seasonal Court Reservation ,"Tue, Dec 9th",9a - 11a,"Court #14, Court #15, Court #16 (Championship) ",,14
Intermediate Open Play,"Tue, Dec 9th",10a - 12p,Championship Court #1,,0
Private Groups,"Tue, Dec 9th",10a - 12p,"Court #2, Court #3, Court #4, Court #5, Court #6 Pickleball or Backyard Games, Court #7, Court #8, Court #9, Court #10, Court #11, Court #12",,33
Pro +4 ,"Tue, Dec 9th",12p - 1:30p,Championship Court #1,,4
Adv Intermediate Open Play,"Tue, Dec 9th",12p - 2p,Court #4,,1
Intermediate Open Play,"Tue, Dec 9th",12p - 2p,Court #10,,0
55+ Open Play,"Tue, Dec 9th",1p - 3p,"Court #2, Court #3",,0
Private Lesson,"Tue, Dec 9th",2p - 3:30p,Championship Court #1,,0
Adv Intermediate Open Play,"Tue, Dec 9th",2p - 4p,Court #4,,1
Advanced Open Play,"Tue, Dec 9th",2p - 4p,"Court #6 Pickleball or Backyard Games, Court #7",,0
All Levels - Social Play,"Tue, Dec 9th",3p - 6p,"Court #2, Court #3",,0
